,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
122624,VCB,20170404,35.7226,36.3098,35.6736,36.0198,1012810
122968,VCB,20170403,36.114000000000004,36.2608,35.5268,35.6283,2231080
123269,VCB,20170331,36.4076,36.6034,36.114000000000004,36.1177,1648790
123577,VCB,20170330,36.5092,36.8029,36.4114,36.4114,1000760
123896,VCB,20170329,36.4566,36.7013,36.3587,36.5092,1380040
124200,VCB,20170328,36.9949,37.2395,36.5544,36.6071,1950220
124496,VCB,20170327,37.1906,37.5821,36.9459,36.9986,1677100
124821,VCB,20170324,37.6838,37.7327,36.9497,37.1944,1411600
125109,VCB,20170323,36.9008,37.6838,36.8029,37.4391,1640470
125411,VCB,20170322,37.1944,37.537,36.8029,36.9008,1941850
125743,VCB,20170321,37.0965,37.1944,36.8029,37.1944,975510
126062,VCB,20170320,36.6034,37.0927,36.6034,36.7539,1083060
126361,VCB,20170317,36.3135,36.7539,36.1667,36.2156,3101080
126683,VCB,20170316,36.2156,36.4603,36.1667,36.3135,574840
126950,VCB,20170315,36.4603,36.4603,36.1667,36.1667,561660
127274,VCB,20170314,36.2608,36.6034,36.2608,36.2645,502570
127589,VCB,20170313,36.3098,36.6034,36.2608,36.2645,885720
127891,VCB,20170310,36.705,37.3902,36.5582,36.705,596520
128209,VCB,20170309,37.1417,37.5821,36.9949,36.9986,1001970
128524,VCB,20170308,36.5092,37.3902,36.5092,36.9008,892080
128817,VCB,20170307,36.705,36.705,36.3135,36.705,561990
129121,VCB,20170306,37.1906,37.1906,36.5055,36.5092,510190
129445,VCB,20170303,36.4114,36.8029,36.1177,36.705,516470
129756,VCB,20170302,36.7991,36.897,36.114000000000004,36.1177,1147120
130053,VCB,20170301,36.6071,36.8029,36.4114,36.4114,753500
130370,VCB,20170228,37.3863,37.3863,36.6034,36.6071,703780
130661,VCB,20170227,37.3902,37.537,36.4114,37.3902,902460
130980,VCB,20170224,36.9986,37.0476,36.5092,36.6561,785650
131300,VCB,20170223,37.0965,37.3902,36.7539,36.8029,1453770
131590,VCB,20170222,37.68,37.68,36.9949,37.0965,802090
131900,VCB,20170221,37.1906,37.631,37.1417,37.5859,1076370
