Date,Open,High,Low,Close,Volume
20161004,15.5497,15.9637,15.5037,15.7348,1684540
20161003,15.6417,15.7337,15.4117,15.6428,1677100
20160930,15.3657,15.7337,15.3197,15.6428,1672670
20160929,15.9177,15.9177,15.4117,15.6428,1270170
20160928,15.4577,15.9637,15.3657,15.9648,3589280
20160927,14.5376,15.4577,14.5376,15.4587,4499140
20160926,14.7676,14.7676,14.5376,14.6766,775690
20160923,14.7676,14.7676,14.5836,14.7686,753340
20160922,14.8136,14.9976,14.7216,14.7686,502770
20160921,14.5376,14.9976,14.5376,14.8146,960130
20160920,14.4916,14.7216,14.3076,14.7226,983190
20160919,14.6296,14.6756,14.4916,14.5386,367810
20160916,14.6296,14.6296,14.3536,14.5846,758660
20160915,14.6296,14.7216,14.4916,14.6306,916150
20160914,14.7216,14.8136,14.6296,14.6306,652350
20160913,14.9056,14.9976,14.8136,14.9066,477480
20160912,15.0896,15.1356,14.8136,14.9986,815890
20160909,14.9056,14.9976,14.9056,14.9986,447890
20160908,14.9976,14.9976,14.7216,14.9986,541640
20160907,14.8136,14.9056,14.6296,14.8146,1329560
20160906,14.8136,14.9976,14.8136,14.8146,828750
20160905,14.9976,15.0896,14.6296,15.0907,1306300
20160901,15.0896,15.0896,14.8136,15.0907,900430
20160831,15.0896,15.1817,14.9976,15.0907,734920
20160830,15.0896,15.1817,14.9976,15.1827,466210
20160829,15.1817,15.2737,15.0896,15.1827,1091630
20160826,15.0896,15.3657,14.9976,15.0907,1297270
20160825,14.9976,15.0896,14.8136,14.9986,703200
20160824,15.1817,15.1817,14.9056,14.9986,1612330
20160823,15.0896,15.1817,14.9976,15.1827,903350
20160822,15.0896,15.2737,15.0896,15.1827,1257980
20160819,15.3657,15.3657,14.9976,15.2747,2029450
20160818,15.4577,15.4577,15.1817,15.3667,1343540
20160817,15.5497,15.6417,15.3657,15.5507,285200
20160816,15.7337,15.7337,15.4577,15.5507,827940
20160815,15.5497,15.7337,15.4577,15.7348,632830
20160812,15.7337,15.9177,15.4577,15.7348,434800
20160811,15.5497,15.9177,15.3657,15.9188,1228890
20160810,14.9976,15.5497,14.9976,15.5507,1148170
20160809,15.2737,15.3657,15.0896,15.1827,519900
20160808,15.1817,15.2737,14.9056,15.2747,1551990
20160805,15.3657,15.4577,14.9976,15.3667,1690970
20160804,15.7337,15.8257,15.5497,15.5507,1128240
20160803,15.8257,15.8257,15.4577,15.7348,1317460
20160802,16.1018,16.1018,15.6417,15.7348,1169700
20160801,16.3778,16.3778,16.0097,16.1949,707890
20160729,16.1018,16.1938,16.0097,16.1949,805210
20160728,16.1938,16.3778,16.1018,16.1949,501590
20160727,16.2858,16.3778,16.0097,16.2869,1091370
20160726,16.1938,16.2858,16.0097,16.1028,858490
20160725,16.2858,16.3778,16.1018,16.1949,581260
20160722,16.1938,16.2858,15.9177,16.2869,2009510
20160721,16.2858,16.4698,16.1938,16.2869,1705470
20160720,16.5618,16.6538,16.2858,16.2869,1363320
20160719,17.1139,17.1139,16.3778,16.5629,2758450
20160718,16.8378,17.2059,16.6538,17.115,2082080
20160715,17.0219,17.1139,16.8378,17.023,1123160
20160714,17.1139,17.5739,17.1139,17.115,4315400
20160713,16.3778,17.2059,16.3778,17.023,4327780
20160712,16.4698,16.4698,16.1938,16.3789,687640
20160711,16.3778,16.6538,16.1018,16.3789,2012310
20160708,16.4698,16.4698,15.9177,16.3789,1266730
20160707,16.3778,16.4698,16.2858,16.4709,602090
20160706,16.3778,16.4698,16.2858,16.4709,598240
20160705,16.1018,16.7458,16.0097,16.5629,2066340
20160704,16.0097,16.1018,15.7337,16.1028,1555770
20160701,16.0097,16.1938,15.9177,16.0108,788490
20160630,16.1938,16.2858,16.0097,16.1028,639570
20160629,16.1018,16.3778,16.0097,16.1949,1083530
20160628,16.1018,16.1018,15.8257,16.1028,351720
20160627,15.9177,16.1018,15.7337,16.1028,799990
20160624,16.4698,16.4698,15.5497,16.2869,1936510
20160623,16.4698,16.6538,16.3778,16.5629,764500
20160622,16.5618,16.5618,16.3778,16.4709,371290
20160621,16.7458,16.7458,16.4698,16.5629,575810
20160620,16.4698,16.5618,16.3778,16.5629,595980
20160617,16.5618,16.6538,16.2858,16.5629,965090
20160616,16.7458,16.8378,16.5618,16.5629,819390
20160615,16.5618,16.8378,16.5618,16.6549,867900
20160614,16.6538,16.8378,16.5618,16.6549,1115200
20160613,17.0219,17.1139,16.7458,16.839,886660
20160610,17.2059,17.4819,17.1139,17.115,3935310
20160609,16.8378,17.3899,16.7458,17.2991,2943510
20160608,16.5618,17.0219,16.5618,16.839,1699270
20160607,16.8378,16.8378,16.5618,16.6549,1149500
20160606,16.8378,16.8378,16.5618,16.747,1083280
20160603,17.0219,17.1139,16.8378,16.839,1115540
20160602,16.8378,17.0219,16.7458,17.023,834990
20160601,16.5618,16.9298,16.5618,16.839,1032960
20160531,16.7458,16.9298,16.6538,16.747,1813280
20160530,16.3778,16.7458,16.2858,16.6549,661330
20160527,16.1018,16.3778,15.9177,16.3789,1466540
20160526,16.3778,16.4698,16.0097,16.1028,1602380
20160525,16.5618,16.7458,16.4698,16.4709,938560
20160524,16.4698,16.6538,16.2858,16.4709,1644700
